,traddt,isin,fininstrmid,fininstrmid_b,tckrsymb,tckrsymb_b,sctysrs,sctysrs_b,src,src_b,fininstrmnm,opnpric,hghpric,lwpric,clspric,lastpric,prvsclsgpric,sttlmpric,ttltradgvol,ttltrfval,ttlnboftxsexctd,qty_del,delvry_trnovr,ttltradgvol_b,ttltrfval_b,ttlnboftxsexctd_b,qty_del_b,delvry_trnovr_b,sum_ttltradgvol,sum_ttltrfval,sum_ttlnboftxsexctd,sum_del_qty,sum_delvry_trnovr,del_per,avg_price,avg_qty_per_order,avg_order_price,close_to_avg,close_avg_perc,othr_trds,othr_trds_vol,othr_trds_val,othr_trds_txsexctd
4073,2024-01-01,INE940C01015,,517437,,DUTRON,,XT,,BSE,DUTRON POLYMERS LTD.,155.7,155.7,141.25,152.95,152.95,148.3,152.95,,,,,,873.0,133086.0,15.0,873.0,133086.0,873.0,133086.0,15.0,873.0,133086.0,100.0,152.45,58.2,8872.59,-0.5,-0.33,,,,
4074,2024-01-01,INE940E01011,,526468,,EUROLED,,XT,,BSE,EURO LEDER FASHION LTD.,19.4,20.49,19.21,19.99,19.99,20.0,19.99,,,,,,666.0,13046.0,14.0,666.0,13046.0,666.0,13046.0,14.0,666.0,13046.0,100.0,19.59,47.57,931.9,-0.4,-2.0,,,,
4075,2024-01-01,INE940H01014,14264,532808,PGIL,PGIL,BE,T,NSE,BSE,PEARL GLOBAL IND LIMITED,1328.0,1335.0,1290.05,1332.2,1335.0,1298.85,1332.2,9479.0,12509343.55,605.0,9479.0,12509343.55,1351.0,1783885.0,93.0,1351.0,1783885.0,10830.0,14293228.55,698.0,10830.0,14293228.55,100.0,1319.78,15.52,20482.99,-12.42,-0.93,,,,
4076,2024-01-01,INE940N01012,,509835,,PREMSYN,,XT,,BSE,PREMIER SYNTHETICS LTD.,26.58,27.11,26.0,26.2,26.99,26.58,26.2,,,,,,257.0,6737.0,7.0,257.0,6737.0,257.0,6737.0,7.0,257.0,6737.0,100.0,26.21,36.71,962.17,0.01,0.04,,,,
4077,2024-01-01,INE942C01045,,506879,,GUJTHEM,,B,,BSE,GUJARAT THEMIS BIOSYN LTD.,256.0,284.7,255.0,269.15,269.15,256.55,269.15,,,,,,988575.0,266134071.0,8520.0,550449.0,148153349.0,988575.0,266134071.0,8520.0,550449.0,148153349.0,55.68,269.21,116.03,31236.44,0.06,0.02,,,,
4078,2024-01-01,INE942G01012,11944,532654,MCLEODRUSS,MCLEODRUSS,BE,T,NSE,BSE,MCLEOD RUSSEL INDIA LTD.,27.8,28.5,26.25,28.5,28.5,27.15,28.5,476540.0,13443701.8,885.0,476540.0,13443701.8,80504.0,2282238.0,240.0,80504.0,2282238.0,557044.0,15725939.8,1125.0,557044.0,15725939.8,100.0,28.23,495.15,13978.08,-0.27,-0.95,,,,
4079,2024-01-01,INE943D01017,10578,532440,MPSLTD,MPSLTD,EQ,B,NSE,BSE,MPS LIMITED,1715.75,1730.85,1694.05,1702.65,1700.0,1698.35,1702.65,8040.0,13710432.2,1330.0,4403.0,7508337.43,1267.0,2156962.0,193.0,705.0,1200968.0,9307.0,15867394.2,1523.0,5108.0,8709305.43,54.88,1704.89,6.11,10416.88,2.24,0.13,,,,
4080,2024-01-01,INE944A01011,,532160,,GUJSTATFIN,,T,,BSE,GUJARAT STATE FINANCIAL CORPOR,17.65,17.65,17.65,17.65,17.65,16.81,17.65,,,,,,26455.0,466930.0,81.0,26455.0,466930.0,26455.0,466930.0,81.0,26455.0,466930.0,100.0,17.65,326.6,5764.49,0.0,0.0,,,,
4081,2024-01-01,INE944C01017,,526891,,MKTCREAT,,X,,BSE,MARKET CREATORS LTD.,8.77,8.77,8.77,8.77,8.77,8.76,8.77,,,,,,100.0,877.0,1.0,100.0,877.0,100.0,877.0,1.0,100.0,877.0,100.0,8.77,100.0,877.0,0.0,0.0,,,,
4082,2024-01-01,INE944F01028,10990,532497,RADICO,RADICO,EQ,A,NSE,BSE,RADICO KHAITAN LTD,1669.3,1692.55,1660.05,1686.05,1686.0,1658.25,1686.05,432273.0,728390021.6,16885.0,281896.0,475001292.07,19338.0,32563226.0,1698.0,12193.0,20551302.0,451611.0,760953247.6,18583.0,294089.0,495552594.07,65.12,1684.98,24.3,40945.01,-1.07,-0.06,,,,
