DATE|SCRIP CODE|DELIVERY QTY|DELIVERY VAL|DAY'S VOLUME|DAY'S TURNOVER|DELV. PER.
05022024|500171|000016606|0000000008855150|000045671|0000000024906290|036.36
05022024|500173|000032753|0000000003021792|000070001|0000000006717639|046.79
05022024|500174|000015380|0000000000118137|000015380|0000000000118137|100.00
05022024|500179|000112752|0000000002485311|000112752|0000000002485311|100.00
05022024|500180|000454602|0000000656945351|001278419|0000001843855264|035.56
05022024|500182|000002877|0000000013647913|000007960|0000000037785105|036.14
05022024|500183|000547498|0000000053791679|001451472|0000000145039215|037.72
05022024|500184|000046931|0000000017230414|000046931|0000000017230414|100.00
05022024|500185|003851423|0000000167074730|008600974|0000000388462431|044.78
05022024|500186|000078052|0000000014068873|000174775|0000000032046924|044.66
05022024|500187|000002634|0000000002081782|000008349|0000000006689692|031.55
05022024|500188|000026484|0000000008372917|000059553|0000000018817413|044.47
05022024|500189|000002004|0000000000235470|000002360|0000000000275595|084.92
05022024|500191|000040005|0000000002839365|000040005|0000000002839365|100.00
05022024|500192|000183620|0000000000804557|000183620|0000000000804557|100.00
05022024|500193|000061885|0000000002194443|000137244|0000000004870338|045.09
05022024|500199|000002287|0000000001150133|000003110|0000000001562604|073.54
05022024|500201|000011583|0000000010487249|000032085|0000000029937283|036.10
05022024|500202|000005339|0000000000053495|000005339|0000000000053495|100.00
05022024|500206|000003595|0000000000172417|000004795|0000000000229820|074.97
05022024|500207|000071523|0000000004324281|000091721|0000000005648435|077.98
05022024|500209|000104182|0000000175728989|000148469|0000000251202780|070.17
05022024|500210|000000552|0000000001804875|000001075|0000000003503612|051.35
05022024|500213|000010546|0000000006648199|000015003|0000000009419967|070.29
05022024|500214|000011198|0000000005630915|000023951|0000000012185848|046.75
05022024|500215|000000075|0000000000063923|000000138|0000000000118878|054.35
05022024|500219|000141432|0000000008884759|000330119|0000000021172591|042.84
05022024|500223|001971432|0000000006269154|002447101|0000000007881054|080.56
05022024|500227|000002785|0000000001710130|000004133|0000000002552607|067.38
05022024|500228|000033866|0000000027575391|000091505|0000000075308204|037.01
05022024|500231|000001940|0000000000155918|000003492|0000000000286295|055.56
05022024|500233|000008922|0000000011632950|000015678|0000000020612985|056.91
05022024|500234|000001940|0000000000476852|000002654|0000000000654805|073.10
05022024|500235|000027259|0000000018454343|000067396|0000000044751859|040.45
05022024|500236|000001349|0000000000002306|000001349|0000000000002306|100.00
05022024|500238|000005979|0000000008104236|000008600|0000000011630941|069.52
05022024|500239|000039401|0000000001531517|000046449|0000000001805055|084.83
05022024|500240|000066900|0000000009576735|000100556|0000000014570591|066.53
05022024|500241|000003197|0000000002884174|000004762|0000000004369655|067.14
05022024|500243|000000268|0000000001121018|000000429|0000000001791699|062.47
05022024|500245|000031848|0000000020309470|000046991|0000000029906713|067.77
05022024|500246|000002776|0000000000400715|000002776|0000000000400715|100.00
05022024|500247|000052157|0000000094380700|000213411|0000000385838647|024.44
05022024|500249|000000629|0000000002316419|000001136|0000000004197372|055.37
05022024|500250|000002482|0000000003120743|000007262|0000000009220574|034.18
05022024|500251|000016197|0000000049011313|000031022|0000000095617038|052.21
05022024|500252|000000048|0000000000657444|000000104|0000000001424125|046.15
05022024|500253|000036777|0000000023564863|000159413|0000000102185570|023.07
05022024|500257|000030166|0000000047452627|000064070|0000000099939992|047.08
05022024|500259|000004092|0000000000506385|000005576|0000000000689723|073.39
05022024|500260|000002766|0000000002712617|000005917|0000000005837933|046.75
05022024|500262|000000938|0000000000009288|000000938|0000000000009288|100.00
05022024|500264|000135944|0000000020595516|000188852|0000000029091270|071.98
05022024|500265|000018339|0000000017925456|000029625|0000000029256209|061.90
05022024|500266|000000409|0000000003134065|000000494|0000000003746934|082.79
05022024|500267|000009026|0000000002835970|000009723|0000000003054966|092.83
05022024|500268|000058236|0000000004761958|000157849|0000000012954065|036.89
05022024|500270|000004384|0000000000832960|000004911|0000000000932525|089.27
05022024|500271|000003592|0000000003134020|000010573|0000000009395499|033.97
05022024|500277|000005816|0000000000050050|000005816|0000000000050050|100.00
