DATE|SCRIP CODE|DELIVERY QTY|DELIVERY VAL|DAY'S VOLUME|DAY'S TURNOVER|DELV. PER.
01012025|500002|0000000000001375|0000000009527444|0000000000003430|0000000023701429|040.09
01012025|500003|0000000000004672|0000000003802308|0000000000010073|0000000008230372|046.38
01012025|500008|0000000000013429|0000000016251776|0000000000036389|0000000043782359|036.90
01012025|500009|0000000000150639|0000000008455368|0000000000220112|0000000012339285|068.44
01012025|500012|0000000000050429|0000000003858828|0000000000069668|0000000005298240|072.38
01012025|500014|0000000000038823|0000000000282632|0000000000042508|0000000000310737|091.33
01012025|500016|0000000000012507|0000000000145207|0000000000014299|0000000000160818|087.47
01012025|500020|0000000000041452|0000000008108012|0000000000116671|0000000022892359|035.53
01012025|500023|0000000000010627|0000000003547573|0000000000010627|0000000003547573|100.00
01012025|500027|0000000000000172|0000000001188237|0000000000000457|0000000003146407|037.64
01012025|500028|0000000000058453|0000000002436906|0000000000071192|0000000002867961|082.11
01012025|500031|0000000000000418|0000000000320042|0000000000000920|0000000000704384|045.43
01012025|500032|0000000000329501|0000000010277137|0000000000964562|0000000030138883|034.16
01012025|500033|0000000000000428|0000000002838304|0000000000000976|0000000006419141|043.85
01012025|500034|0000000000002789|0000000019346317|0000000000007376|0000000050741852|037.81
01012025|500038|0000000000010883|0000000005931780|0000000000026739|0000000014497634|040.70
01012025|500039|0000000000049911|0000000025616821|0000000000102215|0000000052264237|048.83
01012025|500040|0000000000001694|0000000004284804|0000000000004568|0000000011562019|037.08
01012025|500042|0000000000000512|0000000002873856|0000000000002126|0000000011918353|024.08
01012025|500043|0000000000002611|0000000003650831|0000000000005109|0000000007123900|051.11
01012025|500048|0000000000000846|0000000003486324|0000000000004162|0000000017081367|020.33
01012025|500049|0000000000053144|0000000015619022|0000000000211351|0000000061878451|025.14
01012025|500052|0000000000005413|0000000000743476|0000000000008993|0000000001235152|060.19
01012025|500058|0000000000011403|0000000000194536|0000000000025291|0000000000422186|045.09
01012025|500059|0000000000001919|0000000000028383|0000000000002133|0000000000032340|089.97
01012025|500060|0000000000000264|0000000000056576|0000000000000419|0000000000089639|063.01
01012025|500067|0000000000019843|0000000044935466|0000000000092823|0000000210172851|021.38
01012025|500068|0000000000000121|0000000002007893|0000000000000136|0000000002266914|088.97
01012025|500069|0000000000000260|0000000000127790|0000000000000315|0000000000154521|082.54
01012025|500074|0000000000037723|0000000004015614|0000000000062029|0000000006575342|060.82
01012025|500078|0000000000001167|0000000000478179|0000000000001737|0000000000714518|067.18
01012025|500083|0000000000015773|0000000000385493|0000000000020595|0000000000509374|076.59
01012025|500084|0000000000242164|0000000045066721|0000000000281270|0000000052210418|086.10
01012025|500085|0000000000008366|0000000004212281|0000000000033442|0000000016766098|025.02
01012025|500086|0000000000070867|0000000029866898|0000000000165439|0000000069260301|042.84
01012025|500087|0000000000062689|0000000095967456|0000000000087406|0000000134084085|071.72
01012025|500089|0000000000000229|0000000000151244|0000000000000238|0000000000157343|096.22
01012025|500092|0000000000002375|0000000015225057|0000000000009229|0000000059454450|025.73
01012025|500093|0000000000014551|0000000010780836|0000000000063192|0000000046048645|023.03
01012025|500096|0000000000123276|0000000062994036|0000000000159333|0000000081104565|077.37
01012025|500097|0000000000004223|0000000001572857|0000000000013670|0000000005109932|030.89
01012025|500101|0000000000002683|0000000001109153|0000000000010010|0000000004150595|026.80
01012025|500103|0000000000041840|0000000009757088|0000000000246012|0000000056799038|017.01
01012025|500104|0000000000032490|0000000013405374|0000000000102969|0000000042137022|031.55
01012025|500106|0000000000088928|0000000005517094|0000000000412589|0000000025613833|021.55
01012025|500108|0000000000114425|0000000005880301|0000000000545906|0000000027914311|020.96
01012025|500109|0000000000013993|0000000002090555|0000000000048371|0000000007190397|028.93
01012025|500110|0000000000031328|0000000019802429|0000000000093662|0000000059214804|033.45
01012025|500112|0000000000188190|0000000149300537|0000000000356031|0000000282425112|052.86
01012025|500113|0000000000102704|0000000011605552|0000000000304203|0000000034347654|033.76
01012025|500114|0000000000004490|0000000014610685|0000000000013829|0000000045009483|032.47
01012025|500116|0000000000082228|0000000006318400|0000000000247439|0000000019006826|033.23
