TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd01,Rsvd02,Rsvd03,Rsvd04
2024-01-01,2024-01-01,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,4699.00,4715.70,4656.00,4678.55,4678.55,4673.95,,4682.15,,,1787,8375148.00,381,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,350.45,355.45,346.45,349.35,349.70,352.35,,349.55,,,36265,12666745.00,1619,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,816.55,827.00,815.10,824.85,824.85,816.40,,825.05,,,80805,66405907.00,5063,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500009,INE432A01017,AMBALALSA,XT,,,,,AMBALAL SARABHAI ENTERPRISES L,39.00,39.92,38.15,39.92,39.92,38.02,,39.92,,,152698,6008795.00,265,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,81.50,83.01,81.50,82.63,82.63,81.51,,82.63,,,164829,13582809.00,672,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500013,INE436A01026,ANSALAPI,Z,,,,,ANSAL PROPERTIES & INFRASTRUCT,11.07,11.07,11.07,11.07,11.07,11.65,,11.10,,,22764,251997.00,18,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,6.82,7.40,6.60,7.19,7.23,6.69,,7.19,,,87176,616075.00,344,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,16.59,16.59,15.61,15.83,15.80,16.14,,15.83,,,26591,419526.00,60,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,154.90,158.70,154.85,155.50,155.50,153.90,,155.50,,,102137,15959002.00,2267,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,7180.00,7206.85,7117.65,7144.50,7198.80,7142.70,,7168.75,,,555,3976683.00,135,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500028,INE447A01015,ATVPR,XT,,,,,ATV PROJECTS INDIA LTD.,15.34,15.34,13.88,15.27,15.30,14.61,,15.27,,,74874,1145533.00,206,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500031,INE193E01025,BAJAJELEC,A,,,,,BAJAJ ELECTRICALS LTD.,999.95,999.95,989.00,992.70,994.00,989.05,,992.70,,,6159,6125279.00,629,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500032,INE306A01021,BAJAJHIND,A,,,,,BAJAJ HINDUSTHAN SUGAR LIMITED,28.19,28.49,27.90,28.14,28.14,27.84,,28.11,,,1485819,41943333.00,5176,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500033,INE451A01017,FORCEMOT,B,,,,,FORCE MOTORS LTD.,3653.00,3699.95,3625.00,3684.20,3684.20,3621.00,,3684.20,,,16347,60075770.00,1215,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500034,INE296A01024,BAJFINANCE,A,,,,,BAJAJ FINANCE LIMITED,7327.80,7334.00,7274.30,7298.45,7298.45,7326.90,,7299.05,,,9925,72489251.00,1669,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500038,INE119A01028,BALRAMCHIN,A,,,,,BALRAMPUR CHINI MILLS LTD.,413.95,420.10,409.00,414.25,414.25,410.55,,414.50,,,354554,147761876.00,6865,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500039,INE213C01025,BANCOINDIA,B,,,,,BANCO PRODUCTS (INDIA) LTD.,645.00,652.05,624.45,629.55,629.60,638.70,,629.30,,,58270,37243611.00,2967,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500040,INE055A01016,CENTURYTEX,A,,,,,CENTURY TEXTILES & INDUSTRIES,1226.20,1287.40,1209.70,1280.00,1277.10,1221.55,,1280.00,,,16230,20499954.00,1346,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500041,INE459A01010,BANARISUG,B,,,,,BANNARI AMMAN SUGARS LTD.,2575.25,2577.55,2567.15,2576.45,2576.45,2550.95,,2569.85,,,15,38591.00,8,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500042,INE373A01013,BASF,A,,,,,BASF INDIA LTD.,3070.00,3094.45,3060.80,3074.80,3070.50,3066.45,,3073.70,,,1120,3445125.00,315,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500043,INE176A01028,BATAINDIA,A,,,,,BATA INDIA LTD.,1659.95,1659.95,1635.00,1637.65,1640.55,1651.15,,1641.55,,,4215,6932820.00,425,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500048,INE258A01016,BEML,A,,,,,BEML LTD.,2853.95,2885.00,2827.25,2838.70,2838.70,2828.35,,2844.15,,,4434,12651008.00,549,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500049,INE263A01024,BEL,A,,,,,BHARAT ELECTRONICS LTD.,185.00,186.95,184.15,185.05,185.05,184.10,,184.95,,,821655,152541918.00,7545,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500052,INE922A01025,BEPL,B,,,,,BHANSALI ENGINEERING POLYMERS,100.45,104.75,100.40,103.60,103.60,101.02,,103.60,,,231809,23981661.00,3212,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500058,INE819C01011,BIHSPONG,XT,,,,,BIHAR SPONGE IRON LTD.,10.79,10.79,10.42,10.58,10.52,10.60,,10.58,,,59434,630966.00,211,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500059,INE071A01013,BINANIIND,T,,,,,BINANI INDUSTRIES LTD.,16.30,16.50,15.56,16.09,16.09,16.30,,16.02,,,6693,106956.00,35,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500060,INE800A01015,BIRLACABLE,B,,,,,Birla Cable Limited,289.20,289.20,283.70,286.15,286.95,285.65,,286.10,,,15887,4546232.00,795,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500067,INE472A01039,BLUESTARCO,A,,,,,BLUE STAR LTD.,946.00,954.05,939.35,948.60,948.60,944.90,,948.80,,,3660,3464598.00,548,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500068,INE131C01011,DISAQ,B,,,,,DISA INDIA LTD.,16059.95,16216.50,15852.00,16000.00,16000.00,15805.00,,16000.00,,,35,558980.00,21,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500069,INE418C01012,QUESTCAP,X,,,,,QUEST CAPITAL MARKETS LIMITED,398.00,408.00,377.00,393.45,399.95,389.85,,393.45,,,474,185463.00,45,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500074,INE110A01019,BPL,T,,,,,BPL LTD.,87.20,87.20,84.10,86.08,85.12,85.46,,85.88,,,16463,1409241.00,159,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500078,INE959C01023,OAL,B,,,,,ORIENTAL AROMATICS LIMITED,402.90,423.05,401.70,407.15,407.00,400.65,,407.25,,,11985,4928027.00,1198,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500083,INE281A01026,CENTEXT,B,,,,,CENTURY EXTRUSIONS LTD.,19.10,19.84,18.84,19.25,19.27,18.73,,19.25,,,80175,1557390.00,769,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500084,INE486A01021,CESC,A,,,,,CESC LTD.,133.25,138.45,132.60,136.85,136.85,132.43,,136.85,,,557135,75540467.00,4875,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500085,INE085A01013,CHAMBLFERT,A,,,,,CHAMBAL FERTILISERS & CHEMICAL,372.10,385.00,372.10,380.55,380.55,373.20,,380.15,,,142762,54523470.00,5025,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500086,INE302A01020,EXIDEIND,A,,,,,EXIDE INDUSTRIES LTD.,320.75,326.45,318.80,321.75,321.75,317.95,,322.00,,,501072,161536003.00,9760,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500087,INE059A01026,CIPLA,A,,,,,CIPLA LTD.,1248.05,1256.45,1246.80,1251.05,1251.05,1246.75,,1251.00,,,23966,29990312.00,2125,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500089,INE303A01010,DICIND,B,,,,,DIC INDIA LTD.,497.00,500.00,497.00,500.00,500.00,494.25,,497.55,,,101,50200.00,28,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500092,INE007A01025,CRISIL,A,,,,,CRISIL LTD.,4300.05,4337.75,4257.45,4267.45,4277.00,4339.50,,4270.30,,,2003,8583966.00,611,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500093,INE067A01029,CGPOWER,A,,,,,CG Power and Industrial Soluti,454.05,457.75,447.75,449.35,449.35,454.70,,449.55,,,93981,42429726.00,3150,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500096,INE016A01026,DABUR,A,,,,,DABUR INDIA LTD.,560.00,563.15,554.85,557.65,556.85,556.95,,557.45,,,61948,34630828.00,3171,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500097,INE495A01022,DALMIASUG,B,,,,,DALMIA BHARAT SUGAR AND INDUST,419.95,419.95,413.00,414.90,414.95,412.20,,414.45,,,6454,2682273.00,409,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500101,INE034A01011,ARVIND,A,,,,,ARVIND LTD.,264.45,264.45,250.05,252.15,252.15,261.60,,252.70,,,79103,20276151.00,4064,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500103,INE257A01026,BHEL,A,,,,,BHARAT HEAVY ELECTRICALS LTD.,199.35,204.65,197.00,198.35,198.35,193.45,,198.15,,,4608587,926692227.00,26435,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500104,INE094A01015,HINDPETRO,A,,,,,HINDUSTAN PETROLEUM CORPORATIO,406.70,406.70,398.35,399.80,399.80,398.75,,399.60,,,241675,96937500.00,3170,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500106,INE039A01010,IFCI,A,,,,,IFCI LTD.,29.34,29.55,28.83,29.00,29.00,29.16,,29.00,,,3607288,105395698.00,4910,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500108,INE153A01019,MTNL,A,,,,,MAHANAGAR TELEPHONE NIGAM LTD.,33.33,34.70,33.15,33.23,33.23,33.64,,33.20,,,1374755,46718957.00,3481,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500109,INE103A01014,MRPL,A,,,,,MANGALORE REFINERY & PETROCHEM,133.95,134.10,132.20,132.70,132.70,133.25,,132.75,,,197274,26249736.00,2477,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500110,INE178A01016,CHENNPETRO,A,,,,,CHENNAI PETROLEUM CORPORATION,707.70,709.00,695.90,702.85,702.85,695.45,,704.15,,,51827,36429575.00,1753,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500111,INE013A01015,RELCAPITAL,T,,,,,RELIANCE CAPITAL LTD.,11.90,11.90,11.90,11.90,11.90,11.34,,12.00,,,130745,1555865.00,171,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500112,INE062A01020,SBIN,A,,,,,STATE BANK OF INDIA,642.70,646.90,637.60,641.95,641.95,641.95,,641.45,,,794497,511143779.00,21304,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500113,INE114A01011,SAIL,A,,,,,STEEL AUTHORITY OF INDIA LTD.,123.80,126.90,122.70,124.65,124.65,123.60,,124.70,,,2896926,363358805.00,15318,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500114,INE280A01028,TITAN,A,,,,,TITAN COMPANY LIMITED,3698.95,3698.95,3667.60,3675.05,3680.00,3675.95,,3677.05,,,21736,79966716.00,2862,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500116,INE008A01015,IDBI,A,,,,,IDBI BANK LTD.,67.00,68.62,67.00,67.53,67.53,67.41,,67.59,,,1164966,79230641.00,5012,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500117,INE500A01029,DCW,A,,,,,DCW LTD.,56.18,58.30,56.18,56.91,56.91,57.09,,56.86,,,425530,24439111.00,2382,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500119,INE041A01016,DHAMPURSUG,A,,,,,DHAMPUR SUGAR MILLS LTD.,271.00,273.05,262.95,266.50,266.50,253.40,,266.40,,,93405,24865461.00,2074,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500120,INE591D01014,DIAMINESQ,B,,,,,DIAMINES & CHEMICALS LTD.,568.00,568.00,540.50,544.95,547.45,553.10,,544.80,,,3894,2133247.00,646,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500123,INE280B01018,ELANTAS,B,,,,,ELANTAS BECK INDIA LTD.,8599.90,8674.95,8477.30,8532.45,8532.45,8493.80,,8532.45,,,972,8307860.00,220,F1,1,,,,,
2024-01-01,2024-01-01,CM,BSE,STK,500124,INE089A01023,DRREDDY,A,,,,,DR.REDDYS LABORATORIES LTD.,5818.95,5853.85,5808.65,5819.05,5819.05,5797.90,,5821.50,,,9215,53746107.00,1931,F1,1,,,,,
