DATE|SCRIP CODE|DELIVERY QTY|DELIVERY VAL|DAY'S VOLUME|DAY'S TURNOVER|DELV. PER.
02012024|500002|000000970|0000000004555072|000003586|0000000016680340|027.05
02012024|500003|000008755|0000000003051993|000016767|0000000005881714|052.22
02012024|500008|000014186|0000000011571521|000030625|0000000025056297|046.32
02012024|500009|000056072|0000000002349977|000056072|0000000002349977|100.00
02012024|500012|000730095|0000000064759427|000931703|0000000080394620|078.36
02012024|500014|000123789|0000000000873951|000195306|0000000001403374|063.38
02012024|500016|000028032|0000000000451035|000029290|0000000000466810|095.70
02012024|500020|000057420|0000000008808228|000096189|0000000014781880|059.69
02012024|500023|000000050|0000000000011188|000000050|0000000000011188|100.00
02012024|500027|000000738|0000000005281719|000001638|0000000011707926|045.05
02012024|500028|000080352|0000000001250594|000080352|0000000001250594|100.00
02012024|500031|000003369|0000000003350808|000005798|0000000005766921|058.11
02012024|500032|000751585|0000000021036865|001442743|0000000040346516|052.09
02012024|500033|000018315|0000000068463302|000030852|0000000114504385|059.36
02012024|500034|000007290|0000000054177822|000017483|0000000128944760|041.70
02012024|500038|000027745|0000000011239500|000090652|0000000036812573|030.61
02012024|500039|000010299|0000000006414733|000029396|0000000018415804|035.04
02012024|500040|000006896|0000000008725854|000015707|0000000019880175|043.90
02012024|500041|000000398|0000000001021607|000000441|0000000001130651|090.25
02012024|500042|000001079|0000000003305193|000001656|0000000005054091|065.16
02012024|500043|000007175|0000000011452377|000012499|0000000020100787|057.40
02012024|500048|000002480|0000000006906056|000006192|0000000017195857|040.05
02012024|500049|000808740|0000000147352428|001825187|0000000332005616|044.31
02012024|500052|000569257|0000000065009150|001223543|0000000135543517|046.53
02012024|500058|000038974|0000000000414120|000038974|0000000000414120|100.00
02012024|500059|000018566|0000000000293361|000018566|0000000000293361|100.00
02012024|500060|000008820|0000000002495178|000014387|0000000004047828|061.31
02012024|500067|000001119|0000000001063946|000002137|0000000002022437|052.36
02012024|500068|000000124|0000000001981341|000000158|0000000002521657|078.48
02012024|500069|000000891|0000000000347490|000001162|0000000000443380|076.68
02012024|500074|000014377|0000000001221913|000014377|0000000001221913|100.00
02012024|500078|000002569|0000000001042501|000005239|0000000002102977|049.04
02012024|500083|000078478|0000000001532676|000107078|0000000002101623|073.29
02012024|500084|000344498|0000000046352206|000957578|0000000128324216|035.98
02012024|500085|000129261|0000000049119180|000227637|0000000086426959|056.78
02012024|500086|000046837|0000000015074489|000157042|0000000050278407|029.82
02012024|500087|000056533|0000000072449867|000121071|0000000154162518|046.69
02012024|500089|000000405|0000000000204120|000000444|0000000000222690|091.22
02012024|500092|000000431|0000000001819402|000000835|0000000003530565|051.62
02012024|500093|000037626|0000000017014478|000061069|0000000027462638|061.61
02012024|500096|000045261|0000000025194536|000079605|0000000044238845|056.86
02012024|500097|000008530|0000000003469578|000015384|0000000006314070|055.45
02012024|500101|000012640|0000000003163160|000030452|0000000007606025|041.51
02012024|500103|001872779|0000000378394997|006281551|0000001268918076|029.81
02012024|500104|000252845|0000000103312467|000527933|0000000212717934|047.89
02012024|500106|000819207|0000000023568586|004979179|0000000143225873|016.45
02012024|500108|000450139|0000000014944615|001479307|0000000048908841|030.43
02012024|500109|000049530|0000000006411659|000179863|0000000023366677|027.54
02012024|500110|000008858|0000000006276336|000063338|0000000044487585|013.99
02012024|500111|000080333|0000000001003359|000080333|0000000001003359|100.00
02012024|500112|000427358|0000000273103130|000860673|0000000551132872|049.65
02012024|500113|000585193|0000000072037259|002799256|0000000343881498|020.91
02012024|500114|000003351|0000000012387977|000007601|0000000027923763|044.09
02012024|500116|000093725|0000000006313316|000575890|0000000038836553|016.27
