DATE|SCRIP CODE|DELIVERY QTY|DELIVERY VAL|DAY'S VOLUME|DAY'S TURNOVER|DELV. PER.
01012024|810976|000000100|0000000000009755|000000100|0000000000009755|100.00
01012024|890157|000004816|0000000002974603|000008676|0000000005364655|055.51
01012024|890168|000003180|0000000000206700|000006056|0000000000401256|052.51
01012024|890180|000000129|0000000000052916|000000149|0000000000061905|086.58
01012024|890181|000000021|0000000000012602|000000021|0000000000012660|100.00
01012024|935321|000000050|0000000000050400|000000050|0000000000050400|100.00
01012024|935383|000001485|0000000000015816|000001485|0000000000015824|100.00
01012024|935506|000000098|0000000000101137|000000098|0000000000100968|100.00
01012024|935574|000000791|0000000000886711|000000791|0000000000886711|100.00
01012024|935584|000000300|0000000000354900|000000301|0000000000355925|099.67
01012024|935612|000000001|0000000000001045|000000001|0000000000001044|100.00
01012024|935618|000000056|0000000000066152|000000056|0000000000066151|100.00
01012024|935620|000000005|0000000000006345|000000005|0000000000006344|100.00
01012024|935636|000000001|0000000000001831|000000001|0000000000001830|100.00
01012024|935640|000000020|0000000000022380|000000020|0000000000022380|100.00
01012024|935662|000000720|0000000000761400|000000720|0000000000760500|100.00
01012024|935666|000000413|0000000000477837|000000423|0000000000483726|097.64
01012024|935672|000000525|0000000000576860|000000525|0000000000541025|100.00
01012024|935674|000000040|0000000000045160|000000050|0000000000056321|080.00
01012024|935680|000000100|0000000000105500|000000150|0000000000157155|066.67
01012024|935690|000000601|0000000000712726|000000601|0000000000710820|100.00
01012024|935752|000000001|0000000000001061|000000001|0000000000001061|100.00
01012024|935760|000000054|0000000000103300|000000054|0000000000103529|100.00
01012024|935786|000000200|0000000000179002|000000200|0000000000175126|100.00
01012024|935788|000003745|0000000003707550|000003745|0000000003707649|100.00
01012024|935860|000000001|0000000000000968|000000001|0000000000000967|100.00
01012024|936130|000000053|0000000000048548|000000053|0000000000048548|100.00
01012024|936278|000000030|0000000000024990|000000030|0000000000024990|100.00
01012024|936374|000000269|0000000000444388|000000419|0000000000684187|064.20
01012024|936384|000000100|0000000000103600|000000100|0000000000103600|100.00
01012024|936386|000000200|0000000000206800|000000200|0000000000207900|100.00
