Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,01012024,1854021525,0002356
Trade Date <01-JAN-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1018GS2026,GS,17,16,94.12
20,2,182D020524,TB,200,200,100.00
20,3,182D040424,TB,5800,5800,100.00
20,4,182D060624,TB,300,200,66.67
20,5,182D090524,TB,200,200,100.00
20,6,182D110124,TB,2000,2000,100.00
20,7,182D130624,TB,5600,5600,100.00
20,8,182D140324,TB,200,200,100.00
20,9,182D180424,TB,1800,1800,100.00
20,10,182D200624,TB,1200,800,66.67
20,11,182D210324,TB,200,200,100.00
20,12,182D220224,TB,100,100,100.00
20,13,182D230524,TB,500,500,100.00
20,14,182D270624,TB,300,300,100.00
20,15,182D290324,TB,500,500,100.00
20,16,182D300524,TB,100,100,100.00
20,17,20MICRONS,EQ,117885,45000,38.17
20,18,360ONE,EQ,175009,95648,54.65
20,19,364D010824,TB,900,900,100.00
20,20,364D050924,TB,700,700,100.00
20,21,364D051224,TB,700,700,100.00
20,22,364D110424,TB,900,900,100.00
20,23,364D120924,TB,100,100,100.00
20,24,364D121224,TB,3100,3100,100.00
20,25,364D140324,TB,1500,1500,100.00
20,26,364D150224,TB,100,100,100.00
20,27,364D191224,TB,200,200,100.00
20,28,364D211124,TB,500,500,100.00
20,29,364D281124,TB,100,100,100.00
20,30,364D311024,TB,200,200,100.00
20,31,3IINFOLTD,EQ,10164866,3679944,36.20
20,32,3MINDIA,EQ,10350,1891,18.27
20,33,3PLAND,EQ,14356,8961,62.42
20,34,574GS2026,GS,174,174,100.00
20,35,5PAISA,EQ,330447,123681,37.43
20,36,610GS2031,GS,9,9,100.00
20,37,618GS2024,GS,1000,500,50.00
20,38,654GS2032,GS,4710,3919,83.21
20,39,667GS2035,GS,789,789,100.00
20,40,667GS2050,GS,6475,6475,100.00
20,41,669GS2024,GS,2215,2002,90.38
20,42,676GS2061,GS,2100,2100,100.00
20,43,689GS2025,GS,2700,2700,100.00
20,44,695GS2061,GS,2242,2242,100.00
20,45,699GS2051,GS,7256,7255,99.99
20,46,706GS2028,GS,9781,9781,100.00
20,47,710GS2029,GS,3440,3440,100.00
20,48,716GS2050,GS,100,100,100.00
20,49,717GS2030,GS,514,500,97.28
20,50,718GS2033,GS,400,400,100.00
20,51,718GS2037,GS,402,401,99.75
20,52,719GS2060,GS,1,1,100.00
20,53,725GS2063,GS,19571,19471,99.49
20,54,726GS2029,GS,310,310,100.00
20,55,726GS2032,GS,23480,23480,100.00
20,56,726GS2033,GS,51,51,100.00
20,57,732GS2030,GS,1000,1000,100.00
20,58,733GS2026,GS,1104,1104,100.00
20,59,736GS2052,GS,16612,11533,69.43
20,60,737GS2028,GS,1850,1850,100.00
20,61,738GS2027,GS,203668,203356,99.85
20,62,73GS2053,GS,7539,7149,94.83
20,63,741GS2036,GS,1605,1605,100.00
20,64,743TN33,SG,100,100,100.00
20,65,746GS2073,GS,5749,5749,100.00
20,66,74GS2062,GS,1635,1632,99.82
20,67,754GS2036,GS,387579,377008,97.27
20,68,757GJ26,SG,100,100,100.00
20,69,758GJ26,SG,700,700,100.00
20,70,759GS2026,GS,10,10,100.00
20,71,762UP34,SG,100,100,100.00
20,72,778BR31,SG,100,100,100.00
20,73,824GS2027,GS,12000,12000,100.00
20,74,828GS2027,GS,40000,40000,100.00
20,75,833GS2026,GS,6,6,100.00
20,76,91D040124,TB,200,200,100.00
20,77,91D070324,TB,4400,4400,100.00
20,78,91D080224,TB,400,400,100.00
20,79,91D140324,TB,8500,8000,94.12
20,80,91D150224,TB,1100,1100,100.00
20,81,91D180124,TB,200,200,100.00
20,82,91D210324,TB,1500,1100,73.33
20,83,91D220224,TB,3700,3700,100.00
20,84,91D280324,TB,700,700,100.00
20,85,91D290224,TB,1700,1700,100.00
20,86,92GS2030,GS,4761,4760,99.98
20,87,AAATECH,EQ,258541,122128,47.24
20,88,AAREYDRUGS,EQ,1092467,538483,49.29
20,89,AARON,EQ,9211,5637,61.20
20,90,AARTECH,EQ,13300,6675,50.19
20,91,AARTIDRUGS,EQ,241244,102687,42.57
20,92,AARTIIND,EQ,1541664,974629,63.22
20,93,AARTIPHARM,EQ,89927,40793,45.36
20,94,AARTIPP,E1,917,714,77.86
20,95,AARTISURF,EQ,102629,35119,34.22
20,96,AARVEEDEN,EQ,459281,219403,47.77
20,97,AARVI,EQ,61903,34807,56.23
20,98,AATMAJ,SM,44000,22000,50.00
20,99,AAVAS,EQ,238095,124634,52.35
20,100,ABB,EQ,84544,33919,40.12
20,101,ABBOTINDIA,EQ,24341,18280,75.10
20,102,ABCAPITAL,EQ,4244834,2035254,47.95
20,103,ABCOTS,SM,10000,10000,100.00
20,104,ABFL,N0,100,100,100.00
20,105,ABFL,N4,146,146,100.00
20,106,ABFL,N5,200,200,100.00
20,107,ABFRL,EQ,1877648,867585,46.21
20,108,ABINFRA,SM,36000,36000,100.00
20,109,ABSLAMC,EQ,76563,38054,49.70
20,110,ABSLBANETF,EQ,47604,33490,70.35
20,111,ABSLLIQUID,EQ,2172,1186,54.60
20,112,ABSLNN50ET,EQ,6713,4639,69.10
20,113,ACC,EQ,531769,186694,35.11
20,114,ACCELYA,EQ,36080,19574,54.25
20,115,ACCENTMIC,SM,181000,140000,77.35
20,116,ACE,EQ,147904,81851,55.34
20,117,ACEINTEG,EQ,11519,7984,69.31
20,118,ACI,EQ,793927,411724,51.86
20,119,ACL,EQ,165226,91534,55.40
20,120,ACLGATI,EQ,927411,475234,51.24
20,121,ACSAL,SM,21000,21000,100.00
20,122,ADANIENSOL,EQ,676574,255946,37.83
20,123,ADANIENT,EQ,2898619,643451,22.20
20,124,ADANIGREEN,EQ,912757,394593,43.23
20,125,ADANIPORTS,EQ,3989711,975722,24.46
20,126,ADFFOODS,EQ,251070,137777,54.88
20,127,ADORWELD,EQ,10451,5728,54.81
20,128,ADSL,EQ,452462,134201,29.66
20,129,ADVANIHOTR,EQ,118509,42461,35.83
20,130,ADVENZYMES,EQ,160256,83658,52.20
20,131,AEGISCHEM,EQ,407119,275627,67.70
20,132,AEROFLEX,EQ,969404,478675,49.38
20,133,AETHER,EQ,115407,65873,57.08
20,134,AFFLE,EQ,460112,196712,42.75
20,135,AGARIND,EQ,54562,30886,56.61
20,136,AGARWALFT,SM,18000,15000,83.33
20,137,AGI,EQ,69193,34024,49.17
20,138,AGNI,SM,10000,10000,100.00
20,139,AGRITECH,EQ,8458,3219,38.06
20,140,AGROPHOS,EQ,1626418,812422,49.95
20,141,AGSTRA,EQ,1518984,572164,37.67
20,142,AGUL,ST,4000,4000,100.00
20,143,AHL,EQ,311902,78827,25.27
20,144,AHLADA,EQ,2563752,670771,26.16
20,145,AHLEAST,EQ,67322,38125,56.63
20,146,AHLUCONT,EQ,59432,29542,49.71
20,147,AIAENG,EQ,20291,11610,57.22
20,148,AILIMITED,SM,12000,12000,100.00
20,149,AIRAN,EQ,2054633,1049110,51.06
20,150,AIROLAM,EQ,22989,5429,23.62
20,151,AIRTELPP,E1,741043,374175,50.49
20,152,AISL,SM,1200,1200,100.00
20,153,AJANTPHARM,EQ,166867,87411,52.38
20,154,AJMERA,EQ,57788,30527,52.83
20,155,AKASH,EQ,552577,401789,72.71
20,156,AKG,EQ,177194,62421,35.23
20,157,AKSHAR,EQ,7121145,5559406,78.07
20,158,AKSHARCHEM,EQ,52872,24943,47.18
20,159,AKSHOPTFBR,EQ,3546009,2205415,62.19
20,160,AKZOINDIA,EQ,13402,5703,42.55
20,161,ALANKIT,EQ,2693373,1771630,65.78
20,162,ALBERTDAVD,EQ,6272,3765,60.03
20,163,ALEMBICLTD,EQ,696630,321710,46.18
20,164,ALICON,EQ,17699,8737,49.36
20,165,ALKALI,EQ,24281,14259,58.72
20,166,ALKEM,EQ,101017,47179,46.70
20,167,ALKYLAMINE,EQ,382516,113368,29.64
20,168,ALLCARGO,EQ,5617549,1812427,32.26
20,169,ALLETEC,SM,63200,44000,69.62
20,170,ALLSEC,EQ,14846,7990,53.82
20,171,ALMONDZ,EQ,77479,46355,59.83
20,172,ALOKINDS,EQ,10352267,4493352,43.40
20,173,ALPA,EQ,119077,67135,56.38
20,174,ALPHAETF,EQ,128819,107398,83.37
20,175,ALPHAGEO,EQ,14857,9055,60.95
20,176,ALPL30IETF,EQ,13809,7511,54.39
20,177,ALPSINDUS,EQ,62263,56191,90.25
20,178,AMBANIORG,SM,1000,1000,100.00
20,179,AMBER,EQ,23073,9927,43.02
20,180,AMBICAAGAR,EQ,25100,17992,71.68
20,181,AMBIKCO,EQ,9778,5537,56.63
20,182,AMBUJACEM,EQ,4251624,1644918,38.69
20,183,AMEYA,SM,2000,2000,100.00
20,184,AMIABLE,SM,1600,1600,100.00
20,185,AMIORG,EQ,225250,103167,45.80
20,186,AMJLAND,EQ,375092,221553,59.07
20,187,AMNPLST,EQ,13183,9399,71.30
20,188,AMRUTANJAN,EQ,97121,53399,54.98
20,189,ANANDRATHI,EQ,65516,40644,62.04
20,190,ANANTRAJ,EQ,530163,246608,46.52
20,191,ANDHRAPAP,EQ,284395,174632,61.40
20,192,ANDHRSUGAR,EQ,437171,240506,55.01
20,193,ANGELONE,EQ,313160,105607,33.72
20,194,ANLON,SM,1600,800,50.00
20,195,ANMOL,EQ,617299,286865,46.47
20,196,ANNAPURNA,SM,72500,56000,77.24
20,197,ANUP,EQ,22279,12805,57.48
20,198,ANURAS,EQ,427842,149609,34.97
20,199,APARINDS,EQ,70761,23838,33.69
20,200,APCL,EQ,15945,9844,61.74
20,201,APCOTEXIND,EQ,38795,22385,57.70
20,202,APEX,EQ,194604,83877,43.10
20,203,APLAPOLLO,EQ,737306,511059,69.31
20,204,APLLTD,EQ,46900,22006,46.92
20,205,APOLLOHOSP,EQ,127030,38414,30.24
20,206,APOLLOPIPE,EQ,40907,26632,65.10
20,207,APOLLOTYRE,EQ,1679801,721034,42.92
20,208,APOLSINHOT,EQ,3217,2032,63.16
20,209,APTECHT,EQ,491377,213633,43.48
20,210,APTUS,EQ,342938,125100,36.48
20,211,ARABIAN,SM,36000,24000,66.67
20,212,ARCHIES,EQ,136446,79866,58.53
20,213,ARE&M,EQ,527034,284296,53.94
20,214,ARENTERP,EQ,10762,9540,88.65
20,215,ARHAM,SM,10000,8000,80.00
20,216,ARIES,EQ,177289,83933,47.34
20,217,ARIHANTACA,SM,17600,10400,59.09
