Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,01012025,782413376,0002609
Trade Date <01-JAN-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1942,REPRO,EQ,5505,3850,69.94
20,1943,RESPONIND,EQ,2304972,2121889,92.06
20,1944,RETAIL,EQ,11475,7191,62.67
20,1945,REXPIPES,SM,6000,6000,100.00
20,1946,RGL,EQ,164270,80257,48.86
20,1947,RHIM,EQ,115006,58384,50.77
20,1948,RICOAUTO,EQ,402937,255859,63.50
20,1949,RIIL,EQ,208032,33459,16.08
20,1950,RILINFRA,ST,6300,4300,68.25
20,1951,RISHABH,EQ,17128,6082,35.51
20,1952,RITCO,EQ,62421,30846,49.42
20,1953,RITES,EQ,9912081,507516,5.12
20,1954,RITEZONE,SM,11200,9600,85.71
20,1955,RKEC,EQ,40264,30375,75.44
20,1956,RKFORGE,EQ,146516,37270,25.44
20,1957,RKSWAMY,EQ,40996,20605,50.26
20,1958,RMDRIP,ST,18500,16500,89.19
20,1959,RML,EQ,7420,4517,60.88
20,1960,RNFI,SM,1708800,1020000,59.69
20,1961,ROCKINGDCE,SM,36000,28750,79.86
20,1962,ROHLTD,EQ,447550,134558,30.07
20,1963,ROLEXRINGS,EQ,10765,5542,51.48
20,1964,ROML,EQ,1632,1244,76.23
20,1965,ROSSARI,EQ,18145,8968,49.42
20,1966,ROSSTECH,EQ,13971,9220,65.99
20,1967,ROTO,EQ,580705,137253,23.64
20,1968,ROUTE,EQ,22586,9490,42.02
20,1969,ROXHITECH,SM,64000,51200,80.00
20,1970,RPEL,EQ,56205,27212,48.42
20,1971,RPGLIFE,EQ,18240,4328,23.73
20,1972,RPOWER,EQ,33005564,13323607,40.37
20,1973,RPPL,EQ,48302,16223,33.59
20,1974,RPSGVENT,EQ,138522,62196,44.90
20,1975,RPTECH,EQ,148393,62332,42.00
20,1976,RRKABEL,EQ,45168,18476,40.91
20,1977,RSWM,EQ,63611,43581,68.51
20,1978,RSYSTEMS,EQ,40253,21428,53.23
20,1979,RTNINDIA,EQ,1808258,846845,46.83
20,1980,RTNPOWER,EQ,6509720,2539305,39.01
20,1981,RUBFILA,EQ,38132,25423,66.67
20,1982,RUBYMILLS,EQ,15834,7501,47.37
20,1983,RUCHINFRA,EQ,30493,23086,75.71
20,1984,RUCHIRA,EQ,37256,17387,46.67
20,1985,RULKA,SM,13500,9000,66.67
20,1986,RUPA,EQ,62576,28010,44.76
20,1987,RUSHIL,EQ,202658,86644,42.75
20,1988,RUSTOMJEE,EQ,19914,10051,50.47
20,1989,RVNL,EQ,2926296,815572,27.87
20,1990,SAAKSHI,SM,11400,8400,73.68
20,1991,SADBHAV,EQ,908396,508896,56.02
20,1992,SADBHIN,EQ,310778,150589,48.46
20,1993,SADHAV,SM,28800,17400,60.42
20,1994,SADHNANIQ,EQ,424234,157697,37.17
20,1995,SAFARI,EQ,9141,3532,38.64
20,1996,SAGARDEEP,EQ,25940,19433,74.92
20,1997,SAGCEM,EQ,19842,9664,48.70
20,1998,SAGILITY,EQ,33261883,15136709,45.51
20,1999,SAHAJ,SM,4000,4000,100.00
20,2000,SAHAJSOLAR,ST,13800,12000,86.96
20,2001,SAHANA,ST,13750,12875,93.64
20,2002,SAHASRA,SM,120000,84000,70.00
20,2003,SAHYADRI,EQ,3057,2417,79.06
20,2004,SAIFL,SM,19200,15200,79.17
20,2005,SAIL,EQ,7512039,2035419,27.10
20,2006,SAILIFE,EQ,2207719,535610,24.26
20,2007,SAKAR,EQ,14830,7898,53.26
20,2008,SAKHTISUG,EQ,162188,83111,51.24
20,2009,SAKSOFT,EQ,81235,39687,48.85
20,2010,SALASAR,EQ,17533092,10220965,58.30
20,2011,SALONA,EQ,211,197,93.36
20,2012,SALSTEEL,EQ,45468,33196,73.01
20,2013,SALZERELEC,EQ,79367,39118,49.29
20,2014,SAMHI,EQ,1171853,552834,47.18
20,2015,SAMMAANCAP,EQ,1806501,804741,44.55
20,2016,SANATHAN,EQ,872546,330807,37.91
20,2017,SANDESH,EQ,986,492,49.90
20,2018,SANDHAR,EQ,58965,34674,58.80
