Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,05022024,2874361421,0002392
Trade Date <05-FEB-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2223,TRENT,EQ,808544,398417,49.28
20,2224,TRF,EQ,91281,47805,52.37
20,2225,TRIDENT,EQ,22571261,8833570,39.14
20,2226,TRIDHYA,SM,45000,39000,86.67
20,2227,TRIGYN,EQ,224809,84167,37.44
20,2228,TRITURBINE,EQ,849558,491830,57.89
20,2229,TRIVENI,EQ,2084611,845888,40.58
20,2230,TRU,EQ,1444919,560199,38.77
20,2231,TTKHLTCARE,EQ,21591,11733,54.34
20,2232,TTKPRESTIG,EQ,75333,51360,68.18
20,2233,TTL,EQ,31284,21751,69.53
20,2234,TTML,EQ,18933299,4893093,25.84
20,2235,TVSELECT,EQ,47052,23391,49.71
20,2236,TVSHLTD,EQ,27558,11609,42.13
20,2237,TVSHLTD,P1,463327,462223,99.76
20,2238,TVSMOTOR,EQ,829877,392836,47.34
20,2239,TVSSCS,EQ,457794,271134,59.23
20,2240,TVSSRICHAK,EQ,4477,2868,64.06
20,2241,TVTODAY,EQ,130132,60238,46.29
20,2242,TVVISION,EQ,13703,13703,100.00
20,2243,UBL,EQ,292810,91533,31.26
20,2244,UCAL,EQ,39728,27646,69.59
20,2245,UCL,SM,4000,4000,100.00
20,2246,UCOBANK,EQ,206465797,42064783,20.37
20,2247,UDS,EQ,546088,315001,57.68
20,2248,UFLEX,EQ,64487,34616,53.68
20,2249,UFO,EQ,767686,353278,46.02
20,2250,UGARSUGAR,EQ,1560700,760130,48.70
20,2251,UGROCAP,EQ,1436843,797781,55.52
20,2252,UGROCAP,N4,5,5,100.00
20,2253,UGROCAP,N5,31,30,96.77
20,2254,UGROCAP,N7,210,200,95.24
20,2255,UJJIVAN,EQ,666890,261153,39.16
20,2256,UJJIVANSFB,EQ,34007991,14339714,42.17
20,2257,ULTRACEMCO,EQ,162473,91641,56.40
20,2258,UMA,SM,36000,24000,66.67
20,2259,UMAEXPORTS,EQ,756308,451220,59.66
20,2260,UMANGDAIRY,EQ,56162,37367,66.53
20,2261,UNICHEMLAB,EQ,1536381,278066,18.10
20,2262,UNIDT,EQ,97794,47488,48.56
20,2263,UNIENTER,EQ,27769,16397,59.05
20,2264,UNIHEALTH,SM,12000,11000,91.67
20,2265,UNIINFO,EQ,44601,30806,69.07
20,2266,UNIONBANK,EQ,35858580,12761661,35.59
20,2267,UNIPARTS,EQ,78442,45464,57.96
20,2268,UNITEDPOLY,EQ,20924,14737,70.43
20,2269,UNITEDTEA,EQ,2547,1870,73.42
20,2270,UNIVASTU,EQ,158841,133142,83.82
20,2271,UNIVCABLES,EQ,58873,40771,69.25
20,2272,UNIVPHOTO,EQ,2325,1731,74.45
20,2273,UNOMINDA,EQ,608029,482870,79.42
20,2274,UPL,EQ,23096694,8551863,37.03
20,2275,URAVI,EQ,23087,15966,69.16
20,2276,URBAN,SM,14400,8400,58.33
20,2277,USASEEDS,SM,4500,3900,86.67
20,2278,USHAMART,EQ,608874,316267,51.94
20,2279,USK,EQ,571976,302674,52.92
20,2280,UTIAMC,EQ,137924,61108,44.31
20,2281,UTIBANKETF,EQ,75208,53933,71.71
20,2282,UTINEXT50,EQ,25484,16650,65.34
20,2283,UTINIFTETF,EQ,23824,18422,77.33
20,2284,UTISENSETF,EQ,1203,1091,90.69
20,2285,UTISXN50,EQ,6011,3895,64.80
20,2286,UTKARSHBNK,EQ,10450414,4332149,41.45
20,2287,UTTAMSUGAR,EQ,591454,222445,37.61
20,2288,V2RETAIL,EQ,139978,111900,79.94
20,2289,VADILALIND,EQ,31824,13411,42.14
20,2290,VAIBHAVGBL,EQ,737885,316857,42.94
20,2291,VAISHALI,EQ,66171,43856,66.28
20,2292,VAKRANGEE,EQ,25682001,13081760,50.94
20,2293,VALIANTLAB,EQ,100669,51259,50.92
20,2294,VALIANTORG,EQ,66949,37329,55.76
20,2295,VARDHACRLC,EQ,131839,82871,62.86
20,2296,VARROC,EQ,810015,354588,43.78
20,2297,VASCONEQ,EQ,2719583,1115841,41.03
20,2298,VASWANI,EQ,269428,167828,62.29
20,2299,VBL,EQ,4202812,1847598,43.96
20,2300,VEDL,EQ,10619393,4759438,44.82
20,2301,VEEKAYEM,ST,22000,22000,100.00
20,2302,VELS,SM,1200,1200,100.00
20,2303,VENKEYS,EQ,33811,19186,56.74
20,2304,VENUSPIPES,EQ,109769,58829,53.59
20,2305,VENUSREM,EQ,44532,20503,46.04
20,2306,VERANDA,EQ,180721,105414,58.33
20,2307,VERTEXPLUS,SM,600,600,100.00
20,2308,VESUVIUS,EQ,12817,7273,56.74
20,2309,VETO,EQ,183701,102180,55.62
20,2310,VGUARD,EQ,860036,467121,54.31
20,2311,VHL,EQ,4817,3527,73.22
20,2312,VIAZ,SM,2000,2000,100.00
20,2313,VIDHIING,EQ,12163,7912,65.05
20,2314,VIJAYA,EQ,353468,100598,28.46
20,2315,VIKASECO,EQ,42874483,17627009,41.11
20,2316,VILINBIO,SM,76000,60000,78.95
20,2317,VIMTALABS,EQ,273774,69568,25.41
20,2318,VINATIORGA,EQ,55303,35583,64.34
20,2319,VINDHYATEL,EQ,35075,20780,59.24
20,2320,VINSYS,SM,25500,17500,68.63
