Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,02012024,2129454565,0002349
Trade Date <02-JAN-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,182D020524,TB,2300,2200,95.65
20,2,182D060624,TB,400,400,100.00
20,3,182D080224,TB,22500,22500,100.00
20,4,182D090524,TB,3700,3700,100.00
20,5,182D110124,TB,5000,5000,100.00
20,6,182D110424,TB,15000,15000,100.00
20,7,182D130624,TB,500,500,100.00
20,8,182D160524,TB,200,200,100.00
20,9,182D180124,TB,60000,60000,100.00
20,10,182D180424,TB,114000,114000,100.00
20,11,182D200624,TB,1100,1100,100.00
20,12,182D220224,TB,100,100,100.00
20,13,182D230524,TB,200,200,100.00
20,14,182D270624,TB,300,300,100.00
20,15,182D290324,TB,1300,700,53.85
20,16,182D300524,TB,500,500,100.00
20,17,20MICRONS,EQ,321759,153090,47.58
20,18,360ONE,EQ,348865,214297,61.43
20,19,364D020524,TB,1000,1000,100.00
20,20,364D050924,TB,100,100,100.00
20,21,364D080224,TB,500,500,100.00
20,22,364D121224,TB,600,600,100.00
20,23,364D141124,TB,400,400,100.00
20,24,364D191224,TB,100,100,100.00
20,25,364D211124,TB,100,100,100.00
20,26,364D220824,TB,100,100,100.00
20,27,364D290824,TB,1000,1000,100.00
20,28,3IINFOLTD,EQ,18216265,4824691,26.49
20,29,3MINDIA,EQ,9804,2010,20.50
20,30,3PLAND,EQ,10722,7911,73.78
20,31,574GS2026,GS,600,600,100.00
20,32,5PAISA,EQ,890547,142770,16.03
20,33,610GS2031,GS,500,500,100.00
20,34,622GS2035,GS,202,101,50.00
20,35,645GS2029,GS,17,17,100.00
20,36,654GS2032,GS,3276,3275,99.97
20,37,664GS2035,GS,3,3,100.00
20,38,667GS2035,GS,500851,500851,100.00
20,39,667GS2050,GS,4065,4065,100.00
20,40,669GS2024,GS,2501,2500,99.96
20,41,676GS2061,GS,626,526,84.03
20,42,679GS2027,GS,1000000,1000000,100.00
20,43,695GS2061,GS,1303,1303,100.00
20,44,699GS2026,GS,7500,7500,100.00
