Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,03022025,1209807881,0002637
Trade Date <03-FEB-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0MOFSL27,N3,25,25,100.00
20,2,1003IIFL29,NC,32,32,100.00
20,3,1003ISFL28,N4,185,185,100.00
20,4,1015ECL29,NR,115,115,100.00
20,5,1015UCL26,N1,41,41,100.00
20,6,1018GS2026,GS,1953,1953,100.00
20,7,1025NFL25,N5,100,100,100.00
20,8,1025SCL34,Z8,10,10,100.00
20,9,1025SCL34B,N1,31,31,100.00
20,10,1035UCL26,NA,10,5,50.00
20,11,1049DLS25A,Y5,10,10,100.00
20,12,1050ISFL28,N5,58,50,86.21
20,13,1050NFL26,N7,250,250,100.00
20,14,1050UCL25,N7,69,69,100.00
20,15,105IIFL29,N7,1,1,100.00
20,16,1060ECL29,NS,20,20,100.00
20,17,1065NFL27,NC,317,317,100.00
20,18,10CAGL27,N5,44,44,100.00
20,19,10IIFL28A,NE,64,64,100.00
20,20,10IIFL29,N6,30,30,100.00
20,21,10ISFL26,N3,475,475,100.00
20,22,10NFL25,N9,30,30,100.00
20,23,10NIDO26,N6,314,314,100.00
20,24,12VCCL27,N0,1,1,100.00
20,25,182D060225,TB,30100,30100,100.00
20,26,182D100425,TB,100,100,100.00
20,27,182D100725,TB,300,100,33.33
20,28,182D170725,TB,100,100,100.00
20,29,182D190625,TB,100,100,100.00
20,30,182D240425,TB,200,200,100.00
20,31,182D240725,TB,100,100,100.00
20,32,182D270625,TB,4800,4000,83.33
20,33,20MICRONS,EQ,86582,49044,56.64
20,34,360ONE,EQ,378144,190064,50.26
20,35,364D030425,TB,2200,2200,100.00
20,36,364D030725,TB,100,100,100.00
20,37,364D040925,TB,3300,3300,100.00
20,38,364D050625,TB,100,100,100.00
20,39,364D060225,TB,600,300,50.00
20,40,364D110925,TB,19200,19100,99.48
20,41,364D111225,TB,100,100,100.00
20,42,364D130225,TB,2000,2000,100.00
20,43,364D131125,TB,100,100,100.00
20,44,364D150126,TB,100,100,100.00
